[20/06/2022 14:39:56 - TRACE] VSCode language id: python
[20/06/2022 14:39:59 - TRACE] VSCode language id: python
[20/06/2022 14:40:01 - TRACE] VSCode language id: python
[20/06/2022 14:40:04 - TRACE] VSCode language id: python
[20/06/2022 14:40:05 - TRACE] VSCode language id: python
[20/06/2022 14:40:08 - TRACE] VSCode language id: python
[20/06/2022 14:40:10 - TRACE] VSCode language id: python
[20/06/2022 14:40:12 - TRACE] VSCode language id: python
[20/06/2022 14:40:20 - TRACE] VSCode language id: python
[20/06/2022 14:40:22 - TRACE] VSCode language id: python
[20/06/2022 14:40:26 - TRACE] VSCode language id: python
[20/06/2022 14:40:28 - TRACE] VSCode language id: python
[20/06/2022 14:40:28 - TRACE] VSCode language id: python
[20/06/2022 14:40:30 - TRACE] VSCode language id: python
[20/06/2022 14:40:31 - TRACE] VSCode language id: python
[20/06/2022 14:40:50 - TRACE] VSCode language id: python
[20/06/2022 14:40:51 - TRACE] VSCode language id: python
[20/06/2022 14:40:53 - TRACE] VSCode language id: python
[20/06/2022 14:46:10 - TRACE] VSCode language id: python
[20/06/2022 14:46:10 - TRACE] VSCode language id: python
